"","year","month","day","dep_time","sched_dep_time","dep_delay","arr_time","sched_arr_time","arr_delay","carrier","flight","tailnum","origin","dest","air_time","distance","hour","minute","time_hour"
"1",2013,1,29,1459,1505,-6,1611,1637,-26,"9E",3393,"N925XJ","JFK","DCA",42,213,15,5,2013-01-29 15:00:00
"2",2013,2,19,2014,1940,34,2324,2245,39,"B6",381,"N590JB","LGA","FLL",159,1076,19,40,2013-02-19 19:00:00
"3",2013,3,12,1309,1310,-1,1652,1706,-14,"UA",1708,"N75428","EWR","SJU",203,1608,13,10,2013-03-12 13:00:00
"4",2013,1,30,1419,1420,-1,1614,1550,24,"MQ",3728,"N509MQ","EWR","ORD",115,719,14,20,2013-01-30 14:00:00
"5",2013,8,25,1927,1930,-3,2212,2248,-36,"B6",71,"N547JB","JFK","SLC",255,1990,19,30,2013-08-25 19:00:00
"6",2013,2,10,2049,2100,-11,2224,2211,13,"US",2191,"N730US","LGA","DCA",45,214,21,0,2013-02-10 21:00:00
"7",2013,1,17,658,700,-2,804,815,-11,"UA",1142,"N24211","EWR","BOS",42,200,7,0,2013-01-17 07:00:00
"8",2013,7,30,1818,1825,-7,2126,2147,-21,"AS",7,"N423AS","EWR","SEA",338,2402,18,25,2013-07-30 18:00:00
"9",2013,1,30,1657,1700,-3,2029,2036,-7,"DL",127,"N710TW","JFK","LAX",334,2475,17,0,2013-01-30 17:00:00
"10",2013,8,14,1800,1800,0,2057,2039,18,"DL",61,"N67171","LGA","ATL",125,762,18,0,2013-08-14 18:00:00
"11",2013,12,27,814,800,14,1120,1143,-23,"DL",2165,"N375DA","JFK","PHX",282,2153,8,0,2013-12-27 08:00:00
"12",2013,1,15,737,740,-3,946,927,19,"EV",4099,"N12564","EWR","STL",172,872,7,40,2013-01-15 07:00:00
"13",2013,5,17,1952,1943,9,2115,2100,15,"EV",3267,"N15912","EWR","PWM",46,284,19,43,2013-05-17 19:00:00
"14",2013,12,30,1645,1645,0,1915,1913,2,"DL",2042,"N977AT","EWR","ATL",133,746,16,45,2013-12-30 16:00:00
"15",2013,7,6,2028,1938,50,2248,2234,14,"UA",1555,"N36476","EWR","SAN",296,2425,19,38,2013-07-06 19:00:00
"16",2013,12,18,706,650,16,1054,1022,32,"UA",1495,"N76288","EWR","SFO",374,2565,6,50,2013-12-18 06:00:00
"17",2013,10,21,1632,1629,3,2001,1919,42,"UA",1695,"N14102","EWR","IAH",222,1400,16,29,2013-10-21 16:00:00
"18",2013,1,8,1441,1445,-4,1738,1745,-7,"B6",153,"N649JB","JFK","MCO",136,944,14,45,2013-01-08 14:00:00
"19",2013,12,12,1519,1515,4,1655,1705,-10,"MQ",3231,"N638MQ","JFK","PIT",75,340,15,15,2013-12-12 15:00:00
"20",2013,3,20,1853,1855,-2,2232,2255,-23,"AA",1613,"N5EEAA","JFK","SJU",198,1598,18,55,2013-03-20 18:00:00
"21",2013,2,10,601,600,1,824,837,-13,"DL",461,"N3766","LGA","ATL",116,762,6,0,2013-02-10 06:00:00
"22",2013,2,18,951,959,-8,1220,1250,-30,"UA",517,"N511UA","EWR","MCO",129,937,9,59,2013-02-18 09:00:00
"23",2013,1,26,1303,1310,-7,1740,1805,-25,"DL",315,"N3745B","JFK","SJU",193,1598,13,10,2013-01-26 13:00:00
"24",2013,5,2,1410,1223,107,1548,1406,102,"EV",4120,"N11119","EWR","CMH",69,463,12,23,2013-05-02 12:00:00
"25",2013,1,16,1135,1100,35,1304,1214,50,"US",2171,"N762US","LGA","DCA",57,214,11,0,2013-01-16 11:00:00
"26",2013,7,30,1443,1445,-2,1611,1642,-31,"9E",3318,"N932XJ","JFK","BUF",55,301,14,45,2013-07-30 14:00:00
"27",2013,1,11,1640,1645,-5,1912,1853,19,"EV",4997,"N752EV","EWR","DTW",82,488,16,45,2013-01-11 16:00:00
